chainId,address,name,symbol,decimals,logoURI
1,0xd291e7a03283640fdc51b121ac401383a46cc623,Rari Governance,RGT,18,https://assets.coingecko.com/coins/images/12900/thumb/Rari_Logo_Transparent.png?1613978014
1,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,GMT,GMT,18,https://assets.coingecko.com/coins/images/15662/thumb/gmt.png?1640069038
1,0xfb782396c9b20e564a64896181c7ac8d8979d5f4,Divergence Protocol,DIVER,18,https://assets.coingecko.com/coins/images/18666/thumb/DIVER.jpg?1632837940
1,0x4730fb1463a6f1f44aeb45f6c5c422427f37f4d0,4thpillar technologies,FOUR,18,https://assets.coingecko.com/coins/images/3434/thumb/four-ticker-2021-256x256.png?1617702287
1,0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,UFO Gaming,UFO,18,https://assets.coingecko.com/coins/images/16801/thumb/ufo.png?1644048038
1,0x102203517ce35ac5cab9a2cda80df03f26c7419b,SUMOTEX,SMTX,18,https://assets.coingecko.com/coins/images/27478/thumb/Sumotex_telegram_image_PNG.jpg?1664198249
1,0x765baefcb5418fa9f7dddacb1ccc07bd0e890e4e,Meteorite Network,METEOR,9,https://assets.coingecko.com/coins/images/14889/thumb/Meteor-token-200.png?1618900489
1,0x916c5de09cf63f6602d1e1793fb41f6437814a62,JACY,JACY,9,https://assets.coingecko.com/coins/images/19740/thumb/tBwbvjZK_400x400.jpg?1641803022
1,0x0abdace70d3790235af448c88547603b945604ea,district0x,DNT,18,https://assets.coingecko.com/coins/images/849/thumb/district0x.png?1547223762
1,0x5891599664ed15c6e88041b4f5bc08594f026f0e,JPGoldCoin,JPGC,18,https://assets.coingecko.com/coins/images/27321/thumb/JPGC_LOGO-_Coingecko.png?1663319056
1,0x7b35ce522cb72e4077baeb96cb923a5529764a00,Impermax  OLD ,IMX,18,https://assets.coingecko.com/coins/images/15126/thumb/Copy_of_200px.png?1619761475
1,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,Radicle,RAD,18,https://assets.coingecko.com/coins/images/14013/thumb/radicle.png?1614402918
1,0x83c141ee88c502cb9654de93598e9f16555082a8,The Genesis Block,GENBLOK,9,https://assets.coingecko.com/coins/images/27471/thumb/6313c6043c13ed270ede4600_aaaa-p-500.jpg?1664195154
1,0x686f2404e77ab0d9070a46cdfb0b7fecdd2318b0,LORDS,LORDS,18,https://assets.coingecko.com/coins/images/22171/thumb/Frame_1.png?1642334107
1,0xcff20ce22e71ecf2ea89c86ecbd4a3cf513768c7,Makes,MKS,6,https://assets.coingecko.com/coins/images/13318/thumb/MKS200.png?1607412065
1,0xcf8829ae9384540c886a151fac3a865794cb9a01,SyncDAO Governance,SDG,18,https://assets.coingecko.com/coins/images/21085/thumb/SyncDAO-s-icon_1_200x200.png?1638312055
1,0x38ec27c6f05a169e7ed03132bca7d0cfee93c2c5,Wizards And Dragons,GP,18,https://assets.coingecko.com/coins/images/21162/thumb/GPGP.jpg?1638427072
1,0xedeec5691f23e4914cf0183a4196bbeb30d027a0,Wrapped Statera,WSTA,18,https://assets.coingecko.com/coins/images/13599/thumb/wsta_logo.png?1610011862
1,0xf4d861575ecc9493420a3f5a14f85b13f0b50eb3,Fractal,FCL,18,https://assets.coingecko.com/coins/images/14096/thumb/fractal_logo.png?1614264502
1,0xf8a4a419c2d7140e49ef952a7e7ae1bd4a8b6b9c,Lith  OLD ,LITH,18,https://assets.coingecko.com/coins/images/16199/thumb/200x200px_LOGO.png?1657177574
1,0xe340b25fe32b1011616bb8ec495a4d503e322177,Aave AMM UniDAIUSDC,AAMMUNIDAIUSDC,18,https://assets.coingecko.com/coins/images/17218/thumb/aAmmUniDAIUSDC.png?1626878648
1,0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,Inverse Finance,INV,18,https://assets.coingecko.com/coins/images/14205/thumb/inverse_finance.jpg?1614921871
1,0xd6bd97a26232ba02172ff86b055d5d7be789335b,Ormeus Cash,OMC,18,https://assets.coingecko.com/coins/images/11798/thumb/Vooo8SX.png?1594359387
1,0x560cc7de81b2a594f6518713cbe122bcf297a6e8,ImpulseVen,I7,18,https://assets.coingecko.com/coins/images/14514/thumb/Impulseven.png?1631092895
1,0xfd30c9bea1a952feeed2ef2c6b2ff8a8fc4aad07,Kally,KALLY,18,https://assets.coingecko.com/coins/images/15812/thumb/polkally.PNG?1621979722
1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,Shiba Inu,SHIB,18,https://assets.coingecko.com/coins/images/11939/thumb/shiba.png?1622619446
1,0xc36824905dff2eaaee7ecc09fcc63abc0af5abc5,Basis Bond,BAB,18,https://assets.coingecko.com/coins/images/13961/thumb/bab_1.png?1613358492
1,0x986ee2b944c42d017f52af21c4c69b84dbea35d8,BitMart,BMX,18,https://assets.coingecko.com/coins/images/5236/thumb/bitmart-token.png?1548835017
1,0x7d29a64504629172a429e64183d6673b9dacbfce,Vectorspace AI,VXV,18,https://assets.coingecko.com/coins/images/2063/thumb/vectorspace-ai-logo.jpeg?1547036362
1,0xf23b80216a10e6f0c0d3b5ad5c9349e9425cad40,RealT   15778 Manor St  Detroit  MI 482,REALT-S-15778-MANOR,18,https://assets.coingecko.com/coins/images/16689/thumb/15778-manor-hero-2.jpeg?1624636173
1,0xba3335588d9403515223f109edc4eb7269a9ab5d,Gearbox,GEAR,18,https://assets.coingecko.com/coins/images/21630/thumb/gear.png?1640330291
1,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,Kyber Network Crystal,KNC,18,https://assets.coingecko.com/coins/images/14899/thumb/RwdVsGcw_400x400.jpg?1618923851
1,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,Kyber Network Crystal Legacy,KNCL,18,https://assets.coingecko.com/coins/images/947/thumb/logo-kncl.png?1618984814
1,0x16756ec1deb89a2106c35e0b586a799d0a61837d,Chedda,CHEDDA,18,https://assets.coingecko.com/coins/images/22654/thumb/cMckil70_400x400.jpg?1642400459
1,0x785c34312dfa6b74f6f1829f79ade39042222168,Bumper,BUMP,18,https://assets.coingecko.com/coins/images/17822/thumb/Bumper-Icon-Inverse-200.png?1629344025
1,0x5aa158404fed6b4730c13f49d3a7f820e14a636f,ULTRON,ULX,18,https://assets.coingecko.com/coins/images/26977/thumb/ULX.png?1661168951
1,0x1c720999a4f8b2b0e9199039d353d2c9a77a73fc,TigerQueen,TQUEEN,18,https://assets.coingecko.com/coins/images/22531/thumb/Logo-Tiger-Queen.png?1641997189
1,0xb4bebd34f6daafd808f73de0d10235a92fbb6c3d,Yearn Ecosystem Index,YETI,18,https://assets.coingecko.com/coins/images/13332/thumb/yeti.png?1607563342
1,0x84342e932797fc62814189f01f0fb05f52519708,Neighbourhoods,NHT,18,https://assets.coingecko.com/coins/images/22055/thumb/social_media_logo_black_bg.png?1640682530
1,0x0ec9f76202a7061eb9b3a7d6b59d36215a7e37da,BlackPool,BPT,18,https://assets.coingecko.com/coins/images/15887/thumb/uyO7dQzR_400x400.jpg?1622199432
1,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,Polygon,MATIC,18,https://assets.coingecko.com/coins/images/4713/thumb/matic-token-icon.png?1624446912
1,0x3e828ac5c480069d4765654fb4b8733b910b13b2,Colony Network,CLNY,18,https://assets.coingecko.com/coins/images/23269/thumb/Logo.png?1644482438
1,0x678e840c640f619e17848045d23072844224dd37,Cratos,CRTS,18,https://assets.coingecko.com/coins/images/17322/thumb/cratos.png?1627301460
1,0x6bd361e10c1afed0d95259e7c0115f3a60e4ea99,BollyCoin,BOLLY,18,https://assets.coingecko.com/coins/images/21610/thumb/IMG-20211208-124337-701.jpg?1639579540
1,0xba1ed22c69ad00739ee2b4abd70e270be9e87ee2,WebFlix,WFX,18,https://assets.coingecko.com/coins/images/8559/thumb/dr4OEbWK_400x400.jpg?1559199557
1,0xfc98e825a2264d890f9a1e68ed50e1526abccacd,Moss Carbon Credit,MCO2,18,https://assets.coingecko.com/coins/images/14414/thumb/ENtxnThA_400x400.jpg?1615948522
1,0x24b47299e756af0571f512232a3629e0dabb52ed,concertVR,CVT,18,https://assets.coingecko.com/coins/images/2914/thumb/cvt.png?1547037094
1,0xaa61d5dec73971cd4a026ef2820bb87b4a4ed8d6,CRE8R DAO,CRE8R,18,https://assets.coingecko.com/coins/images/22568/thumb/cropped-FINALwithbrick-2-1-1.png?1642060468
1,0xac51066d7bec65dc4589368da368b212745d63e8,My Neighbor Alice,ALICE,6,https://assets.coingecko.com/coins/images/14375/thumb/alice_logo.jpg?1615782968
1,0x40955d77f87123b71b145098358a60573ac7be96,Daisy Protocol,DAISY,18,https://assets.coingecko.com/coins/images/17844/thumb/daisy.PNG?1629497116
1,0x9b8e9d523d1d6bc8eb209301c82c7d64d10b219e,The Plant Dao,SPROUT,18,https://assets.coingecko.com/coins/images/22455/thumb/56z0x6j.png?1641867803
1,0x6be61833fc4381990e82d7d4a9f4c9b3f67ea941,Hotbit,HTB,18,https://assets.coingecko.com/coins/images/5990/thumb/hotbit-token.png?1547041932
1,0x33d20575f20c6a1881f8ab08e69f6fbaffaeedf2,BlueWizard,WIZ,12,https://assets.coingecko.com/coins/images/15261/thumb/BW.jpg?1620270880
1,0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016,1MillionNFTs,1MIL,18,https://assets.coingecko.com/coins/images/14990/thumb/4kQ8hRnU_400x400.jpg?1619334818
1,0xe63684bcf2987892cefb4caa79bd21b34e98a291,Chicken,KFC,18,https://assets.coingecko.com/coins/images/12569/thumb/download.png?1600840301
1,0xa143ac515dca260a46c742c7251ef3b268639593,Bulk Network,BULK,18,https://assets.coingecko.com/coins/images/15266/thumb/Bulk_whale_round.png?1620285364
1,0x8dd4228605e467671941ffb4cae15cf7959c8d9d,Ziticoin,ZITI,8,https://assets.coingecko.com/coins/images/15255/thumb/logo200x200_%284%29.png?1620267412
1,0x1e4e46b7bf03ece908c88ff7cc4975560010893a,Internet of Energy Network,IOEN,18,https://assets.coingecko.com/coins/images/19095/thumb/12799.png?1634422996
1,0x2341dd0a96a0dab62aa1efb93d59ff7f3bdb8932,ProStarter,PROT,18,https://assets.coingecko.com/coins/images/15259/thumb/rpot.PNG?1620269970
1,0xc82e3db60a52cf7529253b4ec688f631aad9e7c2,Arc,ARC,18,https://assets.coingecko.com/coins/images/24235/thumb/arc.png?1647694270
1,0x2e2364966267b5d7d2ce6cd9a9b5bd19d9c7c6a9,Voice,VOICE,18,https://assets.coingecko.com/coins/images/12926/thumb/OjCQtdL.png?1614780024
1,0x74faab6986560fd1140508e4266d8a7b87274ffd,HyperDAO,HDAO,18,https://assets.coingecko.com/coins/images/10780/thumb/B7-ppPfE_400x400.png?1583467291
1,0x878cf148ccbb50426043a9affe54ba408221c7fa,Crypto Kombat,KOMBAT,8,https://assets.coingecko.com/coins/images/15147/thumb/Kombat-token-logo-200.jpg?1619859575
1,0xa4cb0dce4849bdcad2d553e9e68644cf40e26cce,Baked,BAKED,18,https://assets.coingecko.com/coins/images/19178/thumb/rebaked-logo-full.png?1634613132
1,0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,PieDAO BTC  ,BTC++,18,https://assets.coingecko.com/coins/images/10959/thumb/BTC__.png?1586499443
