rank,address,qty,percentage,token_address,token_symbol
65.0,0x3a7cd9a48bba0711964768164bf3525bb86da1b3,390420.813321,0.001,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
66.0,0x6f15ee9258acdebf356db7ab607bb255a00c6fdf,383484.906963,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
67.0,0x47ed57f375d3dddae2ded7a6de522c35bc9419af,379959.916,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
68.0,0x0c1a3e4e1c3da4c89582dfa1afa87a1853d7f78f,367457.567372,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
69.0,0xdef4338b13ac378174ccea8d5fe121c6046ce748,362631.678339,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
70.0,0xd87450448d12b5f93af5da3184a6970e41700abf,360267.305643,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
71.0,0x81ec8017bf95c8eb95f3fba253c951eee11bdd37,357894.835705,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
72.0,0x4c8e1656e042a206eef7e8fcff99bac667e4623e,353974.374887,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
73.0,0x6cb51cf2e235f6d52fe0506e9fc9eb80741073b6,351000.0,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
74.0,0x57fceccd07b5ebcc1bef98703a7bd618d442a275,345868.514,0.0009,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
75.0,0x8747d9eb39085f082ab40a9975001276296027dd,341318.744213,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
76.0,0x8b8e3d061d7cc2ae88fb746bfa69c94fe6d65db6,335172.838854,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
77.0,0xe74b6b349911f62f45469db0e57bcb65c63f2b8e,325148.70025,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
78.0,0x6a704a0e46dcc67a6316644372e261e8fb6f658c,324809.93405,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
79.0,0x42d478999419d09d5d50e72978aa91a58c274124,315402.066205,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
80.0,0x456325f2ac7067234dd71e01bebe032b0255e039,309270.149162,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
81.0,0x05e481b19129b560e921e487adb281e70bdba463,308572.713331,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
82.0,0x79a96b78594b9087a5096fbfcac34d863c8c28d3,305042.314171,0.0008,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
