symbol,name,market_cap,address,price_usd
GODS,GODS/USD,,0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,
GOG,GOG/USD,,0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62,
GOOGL,GOOGL/USD,,,
GRT,GRT/USD,,0xc944e90c64b2c07662a292be6244bdf05cda44a7,
GST,GST/TRY,,0x20b2d0a368d34adc544720c841281fa8a99f5a2e,
GST,GST/USD,,0x20b2d0a368d34adc544720c841281fa8a99f5a2e,
GST,GST/USDT,,0x20b2d0a368d34adc544720c841281fa8a99f5a2e,
GT,GT/USD,,0xe66747a101bff2dba3697199dcce5b743b454759,
HBB,HBB/USD,,,
HGET,HGET/USD,,0x7968bc6a03017ea2de509aaa816f163db0f35148,
HGET,HGET/USDT,,0x7968bc6a03017ea2de509aaa816f163db0f35148,
HMT,HMT/USD,,0xd1ba9bac957322d6e8c07a160a3a8da11a0d2867,
HNT,HNT/USD,,,
HNT,HNT/USDT,,,
HOLY,HOLY/USD,,,
HOOD,HOOD/USD,,,
HT,HT/USD,,0x6f259637dcd74c767781e37bc6133cd6a68aa161,
HUM,HUM/USD,,0x174afe7a032b5a33a3270a9f6c30746e25708532,
HXRO,HXRO/USD,,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,
HXRO,HXRO/USDT,,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,
IMX,IMX/USD,,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,
INDI,INDI/USD,,0x3392d8a60b77f8d3eaa4fb58f09d835bd31add29,
INTER,INTER/USD,,,
IP3,IP3/USD,,,
JET,JET/USD,,0x8727c112c712c4a03371ac87a74dd6ab104af768,
JOE,JOE/USD,,,
JST,JST/USD,,,
KBTT,KBTT/USD,,,
KIN,KIN/USD,,,
KNC,KNC/USD,,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,
KNC,KNC/USDT,,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,
KSHIB,KSHIB/USD,,,
KSOS,KSOS/USD,,,
LDO,LDO/USD,,0x5a98fcbea516cf06857215779fd812ca3bef1b32,
LEO,LEO/USD,,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,
LINA,LINA/USD,,0xc05d14442a510de4d3d71a3d316585aa0ce32b50,
