symbol,price_usd,name,market_cap,decimals,address
DFI,0.404237,DeFiChain,281791720.0,8.0,0x8fc8f8269ebca376d046ce292dc7eac40c8d358a
LUSD,1.011,Liquity USD,281357955.0,18.0,0x93b346b6bc2548da6a1e7d98e9a421b42541425b
LUSD,1.011,Liquity USD,281357955.0,18.0,0x23001f892c0c82b79303edc9b9033cd190bb21c7
AUDIO,0.283742,AUDIUS,278832021.0,18.0,0x18aaa7115705e8be94bffebde57af9bfc265b998
BAL,6.8,BALANCER,271595773.0,18.0,0xba100000625a3754423978a60c9317c58a424e3d
BONE,1.19,BONE SHIBASWAP,271122822.0,18.0,0x9813037ee2218799597d83d4a5b6f3b6778218d9
ONE,0.02190889,HARMONY,268593294.0,18.0,0x946551dd05c5abd7cc808927480225ce36d8c475
LUSD,1.019,LIQUITY USD,265913592.0,,0xc3c6cf6bbca7b759d23a2586e80f795c57a32bef
LUSD,1.019,LIQUITY USD,265913592.0,18.0,0x5f98805a4e8be255a32880fdec7f6728c6568ba0
SXP,0.450886,SXP,263716202.0,18.0,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9
SSV,37.26,SSV NETWORK,262254653.0,18.0,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54
COMP,36.12,Compound,257971170.0,18.0,0x354a6da3fcde098f8389cad84b0182725c6c91de
COMP,36.12,Compound,257971170.0,18.0,0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c
HBTC,28362.0,HUOBI BTC,254270619.0,18.0,0x0316eb71485b0ab14103307bf65a021042c6d380
CVXCRV,0.871842,CONVEX CRV,252129488.0,18.0,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7
ASTRAFER,1.61,ASTRAFER,251916409.0,18.0,0x97bbbc5d96875fb78d2f14b7ff8d7a3a74106f17
XCN,0.01171404,CHAIN,251726050.0,18.0,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18
OMG,1.8,OMG NETWORK,249032277.0,18.0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07
