address,balance_in_ether,ether_share_percent,is_contract
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,172038.067214,0.14273439,0
0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,169861.72850295,0.14092875,0
0x8b83b9c4683aa4ec897c569010f09c6d04608163,169861.72850294,0.14092875,0
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031.9935268,0.14024035,0
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,168393.95634821,0.13971099,1
0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,167720.90831228,0.13915258,0
0x554f4476825293d4ad20e02b54aca13956acc40a,167628.9864263,0.13907632,0
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,165034.34311324,0.13692363,1
0xd6216fc19db775df9774a6e33526131da7d19a2c,161805.84329431,0.13424505,0
0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,159723.38179433,0.13251729,0
0xb9711550ec6dc977f26b73809a2d6791c0f0e9c8,158227.15659833,0.13127593,0
0x28c6c06298d514db089934071355e5743bf21d60,156417.04289022,0.12977413,0
0x203520f4ec42ea39b03f62b20e20cf17db5fdfa7,155745.85295384,0.12921727,0
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000.10000722,0.1244502,0
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000.00400721,0.12445012,0
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000.00124172,0.12445012,0
0x701c484bfb40ac628afa487b6082f084b14af0bd,150000.00107622,0.12445012,0
0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000.00100722,0.12445012,0
0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000.00068612,0.12445012,0
0xb20411c403687d1036e05c8a7310a0f218429503,150000.00010725,0.12445012,0
0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000.00005824,0.12445012,0
0x19d599012788b991ff542f31208bab21ea38403e,150000.00002224,0.12445012,0
0x77afe94859163abf0b90725d69e904ea91446c7b,150000.0000073,0.12445012,0
0xca582d9655a50e6512045740deb0de3a7ee5281f,150000.0000073,0.12445012,0
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000.0000073,0.12445012,0
0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000.0000073,0.12445012,0
0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000.0000073,0.12445012,0
0x091933ee1088cdf5daace8baec0997a4e93f0dd6,150000.0000073,0.12445012,0
0x828103b231b39fffce028562412b3c04a4640e64,150000.00000727,0.12445012,0
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000.00000725,0.12445012,0
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000.00000725,0.12445012,0
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000.00000725,0.12445012,0
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000.00000725,0.12445012,0
